vin_number,license_plate,tires/0/name,tires/0/pressure,tires/1/name,tires/1/pressure,tires/2/name,tires/2/pressure,tires/3/name,tires/3/pressure
YDAxzg48nG3URCaAq,92qzBdT,front-passenger,21.80286535515675,front-driver,39.2865661947938,rear-passenger,20.321588340530923,rear-driver,17.281183636243885
3vy3vatq5XP8XNhXf,6kM7uBo,front-passenger,18.827786294179123,front-driver,37.690237545855624,rear-passenger,23.765277311048578,rear-driver,21.365312874285358
sU3W9ym6OEKzeNnJq,FBsLZQd,front-passenger,16.50010529674758,front-driver,27.315831328018447,rear-passenger,22.872361256884247,rear-driver,29.478867764597567
8LVdp6I0EG5ybGcxj,,front-passenger,22.612870365758013,front-driver,18.671098421135873,rear-passenger,18.661164461958492,rear-driver,24.350591732213246
IB4Pin9gYf3d7NHp4,UH9jBTr,front-passenger,39.90872874627253,front-driver,27.500813609062803,rear-passenger,16.966303174237755,rear-driver,38.189811815783344
LOwXf6BzrkvUxsXGH,YvHJSUO,front-passenger,34.43529119895753,front-driver,37.90958531399676,rear-passenger,32.8955756450896,rear-driver,18.34220303898377
mRo1ASPRtCArk5yJa,9PhiKYD,front-passenger,24.365698901387915,front-driver,30.129168204293844,rear-passenger,18.51879917543898,rear-driver,29.005609454226544
wZJu7WuQpbGN4NWzl,lAir2Ci,front-passenger,36.17642067401956,front-driver,30.714458101518687,rear-passenger,32.71978967324624,rear-driver,23.217440253334573
BvwESZiNfZlUvdS4z,ZwEOtO5,front-passenger,39.16120161133509,front-driver,37.3170095926872,rear-passenger,33.543580799215945,rear-driver,34.72202504093024
9e3TjQKlc51IKz1aJ,djWXFDh,front-passenger,38.932096294753975,front-driver,19.931817299214384,rear-passenger,37.62265502396178,rear-driver,22.23560108472075
1qSt1ZnS0QYUIr7mG,78uOLgI,front-passenger,28.58719518688931,front-driver,18.01481909349262,rear-passenger,19.744170979812708,rear-driver,27.560287792996462
5hDDYc3ftLXUSIzgW,nvFJNdl,front-passenger,39.31787828539285,front-driver,16.066159971742756,rear-passenger,36.311163565081856,rear-driver,16.899489145069698
PHjf7qLa2uftHefvW,,front-passenger,18.266089149825813,front-driver,33.49955558585208,rear-passenger,32.33349367330796,rear-driver,38.92083356438277
EHeoxVOpGV6iLJrXY,XUbRJwc,front-passenger,38.52741316418376,front-driver,26.754944648863834,rear-passenger,34.86923243764001,rear-driver,36.52407891753694
3g0YILxjhSb6dyFYx,JO2YUxJ,front-passenger,34.681939321600204,front-driver,37.56337222344166,rear-passenger,33.258673579641425,rear-driver,30.212814554887423
Mqkmq6owTzDLQFU8s,0NIh8li,front-passenger,34.95783826057498,front-driver,39.512599031725856,rear-passenger,17.154640428735853,rear-driver,20.533096644396952
diwWGtqlS7nFIich5,l5ciHPY,front-passenger,23.127981779880788,front-driver,18.973335936673692,rear-passenger,30.577271629346082,rear-driver,19.828994463741473
dQVkjCEOfyQNZSNCC,2tipJd9,front-passenger,39.283646665506325,front-driver,21.3847252854742,rear-passenger,24.08991122003363,rear-driver,37.00240260676635
On1SosyBjjc0EmCcr,gL1IuUn,front-passenger,29.531510680543278,front-driver,37.041377663730884,rear-passenger,28.84389888849348,rear-driver,25.74974038709795
IlBqgalm1LYrEBwu0,nV1ndCm,front-passenger,25.45576910832293,front-driver,20.505304436972196,rear-passenger,25.627962771589758,rear-driver,37.73597575637059
Cpes896X6aMwKyohT,6PRNfZR,front-passenger,21.74124291225475,front-driver,36.14890373752596,rear-passenger,36.74795029580272,rear-driver,34.04893135046883
fns8d67OzUUcS1a7B,hjK3dCo,front-passenger,29.909308605575646,front-driver,35.66580839006129,rear-passenger,26.08648397330062,rear-driver,22.730036646623685
lkhcjNKHxQGczyIOF,LmqKH0P,front-passenger,31.467437289054594,front-driver,39.39246468350107,rear-passenger,29.43710821339625,rear-driver,29.203314514110776
U6X5rciQQr5gDhsTY,bJloNfh,front-passenger,39.01948633372569,front-driver,16.93184099692646,rear-passenger,19.15453259089361,rear-driver,18.033065866748508
Ihdq46XzksNPRudG0,zPnBbTf,front-passenger,38.84886557288357,front-driver,25.15854784932907,rear-passenger,34.245286813533625,rear-driver,37.45630413704478
8pcjQNaStlOpMjbNe,KM5xG8t,front-passenger,37.80627344371382,front-driver,28.841333100679577,rear-passenger,34.2236114516795,rear-driver,23.34001707946557
Du3piglHFiMUUrJSJ,rn8IVwq,front-passenger,38.90646437672275,front-driver,35.782828836245514,rear-passenger,38.58150216378495,rear-driver,23.931395816695296
WL09RaTjvniVN3YSz,N1AOCFy,front-passenger,17.02242575289833,front-driver,25.47890378987142,rear-passenger,22.361264707072515,rear-driver,27.90973868720038
xRIDYX6iuOGGPIcgi,I8qM9GW,front-passenger,34.99361554792352,front-driver,32.62827566823708,rear-passenger,37.08234597204294,rear-driver,32.10105183546661
gkSFKi4V1j5IjKwck,WAnyaKO,front-passenger,20.352138550535606,front-driver,27.6128106575471,rear-passenger,36.18503343179447,rear-driver,30.59129362146045
o7cU3diP3nqyMGvnH,tqIf4MW,front-passenger,25.274654489714116,front-driver,33.87941981269947,rear-passenger,36.45366903413225,rear-driver,30.10064183171716
rpl9a0759Xy7kOUbf,5RVgWAE,front-passenger,20.116923911415924,front-driver,30.44488451349759,rear-passenger,22.872588702507777,rear-driver,17.422839948319286
Zgdwf65K3hQ3QW6Fl,2xuqRuu,front-passenger,19.35522461966776,front-driver,36.566256344328664,rear-passenger,22.203777564166103,rear-driver,22.493575415379862
iOFFxzVDW1wuYLug7,XNORKTn,front-passenger,34.90447140049584,front-driver,24.973295671860082,rear-passenger,27.689003562332296,rear-driver,39.08328596660964
4iV5Y3eTc7IxkklT0,NyqwLgM,front-passenger,26.987332370133053,front-driver,23.788824354931783,rear-passenger,18.223444615763462,rear-driver,32.87869162449949
S3qingmaw0kesGAKT,eI5dX2g,front-passenger,20.336624505722273,front-driver,21.0660473646506,rear-passenger,33.533066209213985,rear-driver,20.069506926276716
9oTXO8FxI5pBFZ3ad,JZNUwGE,front-passenger,19.50190469492351,front-driver,24.90460949153143,rear-passenger,18.47065891890645,rear-driver,24.71343240153313
HeQj100CFqfWha8Ry,saA9eji,front-passenger,32.37853540982447,front-driver,28.812632323216082,rear-passenger,16.25641961527224,rear-driver,21.37112496615827
vlqTa5B1VcQkgAyyk,smnAEmo,front-passenger,35.84342685327216,front-driver,16.148309697077067,rear-passenger,21.256774745523987,rear-driver,32.88977741370309
WHh3YeY1PnGPnmROr,4wNl6GU,front-passenger,21.037567062018226,front-driver,21.995390914809754,rear-passenger,33.771898769216925,rear-driver,22.114577651271183
wRwjEhZUmiBUPm9GA,h4DWcpH,front-passenger,16.50117897478316,front-driver,38.227900866750076,rear-passenger,34.78485488228366,rear-driver,23.2269684698517
GPwbHMHvuYfpqMsXo,THxXrWo,front-passenger,20.745289079121623,front-driver,25.766529076443163,rear-passenger,18.975701095809473,rear-driver,24.977474000327366
8fIMuwwqr7B1hN16Q,B26Qe4U,front-passenger,30.995429318301156,front-driver,31.141431053455996,rear-passenger,19.229940840658482,rear-driver,32.615488285542796
nELeUPikRcvqlPJ43,Y61QjIu,front-passenger,22.80219588039577,front-driver,32.14143606329443,rear-passenger,27.645977110607824,rear-driver,31.471760279658227
iO1CdefIcwWj9rGYF,6wZbVhS,front-passenger,30.732901838001847,front-driver,37.53978272008449,rear-passenger,37.6963712413667,rear-driver,30.55591878089136
INSWC9akSXzTNuiCw,QDo8N2d,front-passenger,21.310157532798698,front-driver,21.991031760546456,rear-passenger,29.85779215340959,rear-driver,36.244562628686495
KbI6lRrZGfSu8LtIV,INsIIzv,front-passenger,31.581204570025818,front-driver,34.752722984689704,rear-passenger,24.13993594855801,rear-driver,39.922599112138805
v7yTeW9OIn6UXj1vW,i0T1ImK,front-passenger,21.689627617924387,front-driver,24.28090015490198,rear-passenger,34.35649994347929,rear-driver,37.34402218380883
gfRlIBbzxG6Ffjscg,imDWjf7,front-passenger,34.55285573973534,front-driver,39.242578745163456,rear-passenger,34.95738795070398,rear-driver,35.22149947623459
S0CSUh3DqGBejU1eB,mcgy1R1,front-passenger,24.868329705433716,front-driver,26.217155243110867,rear-passenger,32.231522678465154,rear-driver,21.39330003381205
tnIerQXwUsBGCoYbP,,front-passenger,18.058639118163267,front-driver,22.95539636877084,rear-passenger,32.594727067374535,rear-driver,23.34098140657924
YbI2vP98zFE6Off6C,QFgKQ0R,front-passenger,39.689014390287284,front-driver,18.238592617160705,rear-passenger,29.219318090499996,rear-driver,36.25534120608283
FaMbUOHTWmMogZ4Wj,aujOZGp,front-passenger,17.927138722848355,front-driver,29.49665455167773,rear-passenger,31.759576524328644,rear-driver,25.136139710462594
FZ7RXZR3G5FxTNaIW,IzxOLbT,front-passenger,37.135555407460885,front-driver,31.52995903926803,rear-passenger,25.933411181834025,rear-driver,37.04143359250037
yzmIjhhwQmWFYTbBA,f6s6Sw1,front-passenger,30.257872857470062,front-driver,26.287822404152028,rear-passenger,39.189259425979856,rear-driver,28.060687936692197
0hnTZKBDCIU1Qzdn3,KAwe1WE,front-passenger,39.11187767897999,front-driver,20.87316436043431,rear-passenger,19.336686996912285,rear-driver,26.983654397376895
NNlKX2OYbITgBpN4j,xTloSnA,front-passenger,27.961098812037356,front-driver,23.17139320419834,rear-passenger,33.94677623312718,rear-driver,38.37731504863987
PHV54PKgfq1rrVt6Z,f8EZ4tz,front-passenger,38.40643524667464,front-driver,34.74252808637014,rear-passenger,32.083179892093995,rear-driver,17.464529587907318
